
qw1l	tợ
qwul	tợu
qwjl	tợi
qwcl	tợc
qwfl	tợng
qwnl	tợn
qwml	tợm
qwvl	tợp
qwrl	tợt

qw1o	tuợ
qwuo	tuợu
qwjo	tuợi
qwco	tuợc
qwfo	tuợng
qwno	tuợn
qwmo	tuợm
qwvo	tuợp
qwro	tuợt

qo1l	tọ
qoul	tọu
qojl	tọi
qocl	tọc
qofl	tọng
qonl	tọn
qoml	tọm
qovl	tọp
qorl	tọt

qo1o	toọ
qouo	toọu
qojo	toọi
qoco	toọc
qofo	toọng
qono	toọn
qomo	toọm
qovo	toọp
qoro	toọt

qa1l	tạ
qaul	tạo
qajl	tại
qacl	tạc
qafl	tạng
qanl	tạn
qaml	tạm
qavl	tạp
qarl	tạt

qa1o	toạ
qauo	toạo
qajo	toại
qaco	toạc
qafo	toạng
qano	toạn
qamo	toạm
qavo	toạp
qaro	toạt

qe1l	tẹ
qeul	tẹo
qejl	tẹi
qecl	tẹc
qefl	tẹng
qenl	tẹn
qeml	tẹm
qevl	tẹp
qerl	tẹt

qe1o	toẹ
qeuo	toẹo
qejo	toẹi
qeco	toẹc
qefo	toẹng
qeno	toẹn
qemo	toẹm
qevo	toẹp
qero	toẹt

qd1l	tệ
qdul	tệu
qdjl	tệy
qdcl	tệch
qdfl	tệnh
qdnl	tện
qdml	tệm
qdvl	tệp
qdrl	tệt

qd1o	tuệ
qduo	tuệu
qdjo	tuệy
qdco	tuệch
qdfo	tuệnh
qdno	tuện
qdmo	tuệm
qdvo	tuệp
qdro	tuệt

qi1l	tị
qiul	tịu
qijl	tỵ
qicl	tịch
qifl	tịnh
qinl	tịn
qiml	tịm
qivl	tịp
qirl	tịt

qi1o	tuị
qiuo	tuỵu
qijo	tuỵ
qico	tuỵch
qifo	tuỵnh
qino	tuỵn
qimo	tuỵm
qivo	tuỵp
qiro	tuỵt

qk1l	tịa
qkul	tiệu
qkjl	tiệy
qkcl	tiệc
qkfl	tiệng
qknl	tiện
qkml	tiệm
qkvl	tiệp
qkrl	tiệt

qk1o	tuỵa
qkuo	tuyệu
qkjo	tuyệy
qkco	tuyệc
qkfo	tuyệng
qkno	tuyện
qkmo	tuyệm
qkvo	tuyệp
qkro	tuyệt

ql1l	tộ
qlul	tộu
qljl	tội
qlcl	tộc
qlfl	tộng
qlnl	tộn
qlml	tộm
qlvl	tộp
qlrl	tột

ql1o	toộ
qluo	toộu
qljo	toội
qlco	toộc
qlfo	toộng
qlno	toộn
qlmo	toộm
qlvo	toộp
qlro	toột

qs1l	tạnh
qsul	tậu
qsjl	tậy
qscl	tậc
qsfl	tậng
qsnl	tận
qsml	tậm
qsvl	tập
qsrl	tật

qs1o	toạnh
qsuo	tuậu
qsjo	tuậy
qsco	tuậc
qsfo	tuậng
qsno	tuận
qsmo	tuậm
qsvo	tuập
qsro	tuật

qq1l	tạch
qqul	tạu
qqjl	tạy
qqcl	tặc
qqfl	tặng
qqnl	tặn
qqml	tặm
qqvl	tặp
qqrl	tặt

qq1o	toạch
qquo	toạu
qqjo	toạy
qqco	toặc
qqfo	toặng
qqno	toặn
qqmo	toặm
qqvo	toặp
qqro	toặt

qt1l	tự
qtul	tựu
qtjl	tựi
qtcl	tực
qtfl	tựng
qtnl	tựn
qtml	tựm
qtvl	tựp
qtrl	tựt

qt1o	tựa
qtuo	tượu
qtjo	tượi
qtco	tược
qtfo	tượng
qtno	tượn
qtmo	tượm
qtvo	tượp
qtro	tượt

qp1l	tụ
qpul	tụu
qpjl	tụi
qpcl	tục
qpfl	tụng
qpnl	tụn
qpml	tụm
qpvl	tụp
qprl	tụt

qp1o	tụa
qpuo	tuộu
qpjo	tuội
qpco	tuộc
qpfo	tuộng
qpno	tuộn
qpmo	tuộm
qpvo	tuộp
qpro	tuột

ww1l	thợ
wwul	thợu
wwjl	thợi
wwcl	thợc
wwfl	thợng
wwnl	thợn
wwml	thợm
wwvl	thợp
wwrl	thợt

ww1o	thuợ
wwuo	thuợu
wwjo	thuợi
wwco	thuợc
wwfo	thuợng
wwno	thuợn
wwmo	thuợm
wwvo	thuợp
wwro	thuợt

wo1l	thọ
woul	thọu
wojl	thọi
wocl	thọc
wofl	thọng
wonl	thọn
woml	thọm
wovl	thọp
worl	thọt

wo1o	thoọ
wouo	thoọu
wojo	thoọi
woco	thoọc
wofo	thoọng
wono	thoọn
womo	thoọm
wovo	thoọp
woro	thoọt

wa1l	thạ
waul	thạo
wajl	thại
wacl	thạc
wafl	thạng
wanl	thạn
waml	thạm
wavl	thạp
warl	thạt

wa1o	thoạ
wauo	thoạo
wajo	thoại
waco	thoạc
wafo	thoạng
wano	thoạn
wamo	thoạm
wavo	thoạp
waro	thoạt

we1l	thẹ
weul	thẹo
wejl	thẹi
wecl	thẹc
wefl	thẹng
wenl	thẹn
weml	thẹm
wevl	thẹp
werl	thẹt

we1o	thoẹ
weuo	thoẹo
wejo	thoẹi
weco	thoẹc
wefo	thoẹng
weno	thoẹn
wemo	thoẹm
wevo	thoẹp
wero	thoẹt

wd1l	thệ
wdul	thệu
wdjl	thệy
wdcl	thệch
wdfl	thệnh
wdnl	thện
wdml	thệm
wdvl	thệp
wdrl	thệt

wd1o	thuệ
wduo	thuệu
wdjo	thuệy
wdco	thuệch
wdfo	thuệnh
wdno	thuện
wdmo	thuệm
wdvo	thuệp
wdro	thuệt

wi1l	thị
wiul	thịu
wijl	thỵ
wicl	thịch
wifl	thịnh
winl	thịn
wiml	thịm
wivl	thịp
wirl	thịt

wi1o	thuị
wiuo	thuỵu
wijo	thuỵ
wico	thuỵch
wifo	thuỵnh
wino	thuỵn
wimo	thuỵm
wivo	thuỵp
wiro	thuỵt

wk1l	thịa
wkul	thiệu
wkjl	thiệy
wkcl	thiệc
wkfl	thiệng
wknl	thiện
wkml	thiệm
wkvl	thiệp
wkrl	thiệt

wk1o	thuỵa
wkuo	thuyệu
wkjo	thuyệy
wkco	thuyệc
wkfo	thuyệng
wkno	thuyện
wkmo	thuyệm
wkvo	thuyệp
wkro	thuyệt

wl1l	thộ
wlul	thộu
wljl	thội
wlcl	thộc
wlfl	thộng
wlnl	thộn
wlml	thộm
wlvl	thộp
wlrl	thột

wl1o	thoộ
wluo	thoộu
wljo	thoội
wlco	thoộc
wlfo	thoộng
wlno	thoộn
wlmo	thoộm
wlvo	thoộp
wlro	thoột

ws1l	thạnh
wsul	thậu
wsjl	thậy
wscl	thậc
wsfl	thậng
wsnl	thận
wsml	thậm
wsvl	thập
wsrl	thật

ws1o	thoạnh
wsuo	thuậu
wsjo	thuậy
wsco	thuậc
wsfo	thuậng
wsno	thuận
wsmo	thuậm
wsvo	thuập
wsro	thuật

wq1l	thạch
wqul	thạu
wqjl	thạy
wqcl	thặc
wqfl	thặng
wqnl	thặn
wqml	thặm
wqvl	thặp
wqrl	thặt

wq1o	thoạch
wquo	thoạu
wqjo	thoạy
wqco	thoặc
wqfo	thoặng
wqno	thoặn
wqmo	thoặm
wqvo	thoặp
wqro	thoặt

wt1l	thự
wtul	thựu
wtjl	thựi
wtcl	thực
wtfl	thựng
wtnl	thựn
wtml	thựm
wtvl	thựp
wtrl	thựt

wt1o	thựa
wtuo	thượu
wtjo	thượi
wtco	thược
wtfo	thượng
wtno	thượn
wtmo	thượm
wtvo	thượp
wtro	thượt

wp1l	thụ
wpul	thụu
wpjl	thụi
wpcl	thục
wpfl	thụng
wpnl	thụn
wpml	thụm
wpvl	thụp
wprl	thụt

wp1o	thụa
wpuo	thuộu
wpjo	thuội
wpco	thuộc
wpfo	thuộng
wpno	thuộn
wpmo	thuộm
wpvo	thuộp
wpro	thuột

jw1l	đợ
jwul	đợu
jwjl	đợi
jwcl	đợc
jwfl	đợng
jwnl	đợn
jwml	đợm
