
ce1l	kẹ
ceul	kẹo
cejl	kẹi
cecl	kẹc
cefl	kẹng
cenl	kẹn
ceml	kẹm
cevl	kẹp
cerl	kẹt

cd1l	kệ
cdul	kệu
cdjl	kệy
cdcl	kệch
cdfl	kệnh
cdnl	kện
cdml	kệm
cdvl	kệp
cdrl	kệt

ci1l	kị
ciul	kịu
cijl	kỵ
cicl	kịch
cifl	kịnh
cinl	kịn
ciml	kịm
civl	kịp
cirl	kịt

ck1l	kịa
ckul	kiệu
ckjl	kiệy
ckcl	kiệc
ckfl	kiệng
cknl	kiện
ckml	kiệm
ckvl	kiệp
ckrl	kiệt

ge1l	ghẹ
geul	ghẹo
gejl	ghẹi
gecl	ghẹc
gefl	ghẹng
genl	ghẹn
geml	ghẹm
gevl	ghẹp
gerl	ghẹt

gd1l	ghệ
gdul	ghệu
gdjl	ghệy
gdcl	ghệch
gdfl	ghệnh
gdnl	ghện
gdml	ghệm
gdvl	ghệp
gdrl	ghệt

gi1l	ghị
giul	ghịu
gijl	ghỵ
gicl	ghịch
gifl	ghịnh
ginl	ghịn
giml	ghịm
givl	ghịp
girl	ghịt

gk1l	ghịa
gkul	ghiệu
gkjl	ghiệy
gkcl	ghiệc
gkfl	ghiệng
gknl	ghiện
gkml	ghiệm
gkvl	ghiệp
gkrl	ghiệt

ae1l	nghẹ
aeul	nghẹo
aejl	nghẹi
aecl	nghẹc
aefl	nghẹng
aenl	nghẹn
aeml	nghẹm
aevl	nghẹp
aerl	nghẹt

ad1l	nghệ
adul	nghệu
adjl	nghệy
adcl	nghệch
adfl	nghệnh
adnl	nghện
adml	nghệm
advl	nghệp
adrl	nghệt

ai1l	nghị
aiul	nghịu
aijl	nghỵ
aicl	nghịch
aifl	nghịnh
ainl	nghịn
aiml	nghịm
aivl	nghịp
airl	nghịt

ak1l	nghịa
akul	nghiệu
akjl	nghiệy
akcl	nghiệc
akfl	nghiệng
aknl	nghiện
akml	nghiệm
akvl	nghiệp
akrl	nghiệt
