0w1l	ợ
0wul	ợu
0wjl	ợi
0wcl	ợc
0wfl	ợng
0wnl	ợn
0wml	ợm
0wvl	ợp
0wrl	ợt

0w1o	uợ
0wuo	uợu
0wjo	uợi
0wco	uợc
0wfo	uợng
0wno	uợn
0wmo	uợm
0wvo	uợp
0wro	uợt

0o1l	ọ
0oul	ọu
0ojl	ọi
0ocl	ọc
0ofl	ọng
0onl	ọn
0oml	ọm
0ovl	ọp
0orl	ọt

0o1o	oọ
0ouo	oọu
0ojo	oọi
0oco	oọc
0ofo	oọng
0ono	oọn
0omo	oọm
0ovo	oọp
0oro	oọt

0a1l	ạ
0aul	ạo
0ajl	ại
0acl	ạc
0afl	ạng
0anl	ạn
0aml	ạm
0avl	ạp
0arl	ạt

0a1o	oạ
0auo	oạo
0ajo	oại
0aco	oạc
0afo	oạng
0ano	oạn
0amo	oạm
0avo	oạp
0aro	oạt

0l1l	ộ
0lul	ộu
0ljl	ội
0lcl	ộc
0lfl	ộng
0lnl	ộn
0lml	ộm
0lvl	ộp
0lrl	ột

0l1o	oộ
0luo	oộu
0ljo	oội
0lco	oộc
0lfo	oộng
0lno	oộn
0lmo	oộm
0lvo	oộp
0lro	oột

0s1l	ạnh
0sul	ậu
0sjl	ậy
0scl	ậc
0sfl	ậng
0snl	ận
0sml	ậm
0svl	ập
0srl	ật

0s1o	oạnh
0suo	uậu
0sjo	uậy
0sco	uậc
0sfo	uậng
0sno	uận
0smo	uậm
0svo	uập
0sro	uật

0q1l	ạch
0qul	ạu
0qjl	ạy
0qcl	ặc
0qfl	ặng
0qnl	ặn
0qml	ặm
0qvl	ặp
0qrl	ặt

0q1o	oạch
0quo	oạu
0qjo	oạy
0qco	oặc
0qfo	oặng
0qno	oặn
0qmo	oặm
0qvo	oặp
0qro	oặt

0z1l	ự
0zul	ựu
0zjl	ựi
0zcl	ực
0zfl	ựng
0znl	ựn
0zml	ựm
0zvl	ựp
0zrl	ựt

0z1o	ựa
0zuo	ượu
0zjo	ượi
0zco	ược
0zfo	ượng
0zno	ượn
0zmo	ượm
0zvo	ượp
0zro	ượt

0p1l	ụ
0pul	ụu
0pjl	ụi
0pcl	ục
0pfl	ụng
0pnl	ụn
0pml	ụm
0pvl	ụp
0prl	ụt

0p1o	ụa
0puo	uộu
0pjo	uội
0pco	uộc
0pfo	uộng
0pno	uộn
0pmo	uộm
0pvo	uộp
0pro	uột

0e1o	oẹ
0euo	oẹo
0ejo	oẹi
0eco	oẹc
0efo	oẹng
0eno	oẹn
0emo	oẹm
0evo	oẹp
0ero	oẹt

0d1o	uệ
0duo	uệu
0djo	uệy
0dco	uệch
0dfo	uệnh
0dno	uện
0dmo	uệm
0dvo	uệp
0dro	uệt

0i1o	uị
0iuo	uỵu
0ijo	uỵ
0ico	uỵch
0ifo	uỵnh
0ino	uỵn
0imo	uỵm
0ivo	uỵp
0iro	uỵt

0k1o	uỵa
0kuo	uyệu
0kjo	uyệy
0kco	uyệc
0kfo	uyệng
0kno	uyện
0kmo	uyệm
0kvo	uyệp
0kro	uyệt
