te1l	gẹ
teul	gẹo
tejl	gẹi
tecl	gẹc
tefl	gẹng
tenl	gẹn
teml	gẹm
tevl	gẹp
terl	gẹt

te1o	gioẹ
teuo	gioẹo
tejo	gioẹi
teco	gioẹc
tefo	gioẹng
teno	gioẹn
temo	gioẹm
tevo	gioẹp
tero	gioẹt

td1l	gệ
tdul	gệu
tdjl	gệy
tdcl	gệch
tdfl	gệnh
tdnl	gện
tdml	gệm
tdvl	gệp
tdrl	gệt

td1o	giuệ
tduo	giuệu
tdjo	giuệy
tdco	giuệch
tdfo	giuệnh
tdno	giuện
tdmo	giuệm
tdvo	giuệp
tdro	giuệt

ti1l	gị
tiul	gịu
tijl	gỵ
ticl	gịch
tifl	gịnh
tinl	gịn
timl	gịm
tivl	gịp
tirl	gịt

ti1o	giuị
tiuo	giuỵu
tijo	giuỵ
tico	giuỵch
tifo	giuỵnh
tino	giuỵn
timo	giuỵm
tivo	giuỵp
tiro	giuỵt

tk1l	gỵa
tkul	giệu
tkjl	giệy
tkcl	giệc
tkfl	giệng
tknl	giện
tkml	giệm
tkvl	giệp
tkrl	giệt

tk1o	giuỵa
tkuo	giuyệu
tkjo	giuyệy
tkco	giuyệc
tkfo	giuyệng
tkno	giuyện
tkmo	giuyệm
tkvo	giuyệp
tkro	giuyệt
