0w1l	uợ
0wul	uợu
0wjl	uợi
0wcl	uợc
0wfl	uợng
0wnl	uợn
0wml	uợm
0wvl	uợp
0wrl	uợt

0o1l	uọ
0oul	uọu
0ojl	uọi
0ocl	uọc
0ofl	uọng
0onl	uọn
0oml	uọm
0ovl	uọp
0orl	uọt

0o1o	uoọ
0ouo	uoọu
0ojo	uoọi
0oco	uoọc
0ofo	uoọng
0ono	uoọn
0omo	uoọm
0ovo	uoọp
0oro	uoọt

0a1l	uạ
0aul	uạo
0ajl	uại
0acl	uạc
0afl	uạng
0anl	uạn
0aml	uạm
0avl	uạp
0arl	uạt

0e1l	uẹ
0eul	uẹo
0ejl	uẹi
0ecl	uẹc
0efl	uẹng
0enl	uẹn
0eml	uẹm
0evl	uẹp
0erl	uẹt

0d1l	uệ
0dul	uệu
0djl	uệy
0dcl	uệch
0dfl	uệnh
0dnl	uện
0dml	uệm
0dvl	uệp
0drl	uệt

0i1l	uị
0iul	uỵu
0ijl	uỵ
0icl	uỵch
0ifl	uỵnh
0inl	uỵn
0iml	uỵm
0ivl	uỵp
0irl	uỵt

0k1l	uỵa
0kul	uyệu
0kjl	uyệy
0kcl	uyệc
0kfl	uyệng
0knl	uyện
0kml	uyệm
0kvl	uyệp
0krl	uyệt

0l1l	oộ
0lul	oộu
0ljl	oội
0lcl	oộc
0lfl	oộng
0lnl	oộn
0lml	oộm
0lvl	oộp
0lrl	oột

0l1o	uôộ
0luo	uôộu
0ljo	uôội
0lco	uôộc
0lfo	uôộng
0lno	uôộn
0lmo	uôộm
0lvo	uôộp
0lro	uôột

0s1l	uạnh
0sul	uậu
0sjl	uậy
0scl	uậc
0sfl	uậng
0snl	uận
0sml	uậm
0svl	uập
0srl	uật

0q1l	uạch
0qul	uạu
0qjl	uạy
0qcl	uặc
0qfl	uặng
0qnl	uặn
0qml	uặm
0qvl	uặp
0qrl	uặt

0t1l	uự
0tul	uựu
0tjl	uựi
0tcl	uực
0tfl	uựng
0tnl	uựn
0tml	uựm
0tvl	uựp
0trl	uựt

0t1o	uựa
0tuo	uượu
0tjo	uượi
0tco	uược
0tfo	uượng
0tno	uượn
0tmo	uượm
0tvo	uượp
0tro	uượt

0p1l	uụ
0pul	uụu
0pjl	uụi
0pcl	uục
0pfl	uụng
0pnl	uụn
0pml	uụm
0pvl	uụp
0prl	uụt

0p1o	uụa
0puo	uộu
0pjo	uội
0pco	uộc
0pfo	uộng
0pno	uộn
0pmo	uộm
0pvo	uộp
0pro	uột
