

pwl	ợ
wul	ợu
wjl	ợi
wcl	ợc
wfl	ợng
wnl	ợn
wml	ợm
wvl	ợp
wrl	ợt

pwo	uợ
wuo	uợu
wjo	uợi
wco	uợc
wfo	uợng
wno	uợn
wmo	uợm
wvo	uợp
wro	uợt

pol	ọ
oul	ọu
ojl	ọi
ocl	ọc
ofl	ọng
onl	ọn
oml	ọm
ovl	ọp
orl	ọt

poo	oọ
ouo	oọu
ojo	oọi
oco	oọc
ofo	oọng
ono	oọn
omo	oọm
ovo	oọp
oro	oọt

pal	ạ
aul	ạo
ajl	ại
acl	ạc
afl	ạng
anl	ạn
aml	ạm
avl	ạp
arl	ạt

pao	oạ
auo	oạo
ajo	oại
aco	oạc
afo	oạng
ano	oạn
amo	oạm
avo	oạp
aro	oạt

pel	ẹ
eul	ẹo
ejl	ẹi
ecl	ẹc
efl	ẹng
enl	ẹn
eml	ẹm
evl	ẹp
erl	ẹt

peo	oẹ
euo	oẹo
ejo	oẹi
eco	oẹc
efo	oẹng
eno	oẹn
emo	oẹm
evo	oẹp
ero	oẹt

pdl	ệ
dul	ệu
djl	ệy
dcl	ệch
dfl	ệnh
dnl	ện
dml	ệm
dvl	ệp
drl	ệt

pdo	uệ
duo	uệu
djo	uệy
dco	uệch
dfo	uệnh
dno	uện
dmo	uệm
dvo	uệp
dro	uệt

pil	ị
iul	ịu
ijl	ỵ
icl	ịch
ifl	ịnh
inl	ịn
iml	ịm
ivl	ịp
irl	ịt

pio	uị
iuo	uỵu
ijo	uỵ
ico	uỵch
ifo	uỵnh
ino	uỵn
imo	uỵm
ivo	uỵp
iro	uỵt

pkl	ịa
kul	yệu
kjl	yệy
kcl	yệc
kfl	yệng
knl	yện
kml	yệm
kvl	yệp
krl	yệt

pko	uỵa
kuo	uyệu
kjo	uyệy
kco	uyệc
kfo	uyệng
kno	uyện
kmo	uyệm
kvo	uyệp
kro	uyệt

pll	ộ
lul	ộu
ljl	ội
lcl	ộc
lfl	ộng
lnl	ộn
lml	ộm
lvl	ộp
lrl	ột

plo	oộ
luo	oộu
ljo	oội
lco	oộc
lfo	oộng
lno	oộn
lmo	oộm
lvo	oộp
lro	oột

psl	ạnh
sul	ậu
sjl	ậy
scl	ậc
sfl	ậng
snl	ận
sml	ậm
svl	ập
srl	ật

pso	oạnh
suo	uậu
sjo	uậy
sco	uậc
sfo	uậng
sno	uận
smo	uậm
svo	uập
sro	uật

pql	ạch
qul	ạu
qjl	ạy
qcl	ặc
qfl	ặng
qnl	ặn
qml	ặm
qvl	ặp
qrl	ặt

pqo	oạch
quo	oạu
qjo	oạy
qco	oặc
qfo	oặng
qno	oặn
qmo	oặm
qvo	oặp
qro	oặt

ptl	ự
tul	ựu
tjl	ựi
tcl	ực
tfl	ựng
tnl	ựn
tml	ựm
tvl	ựp
trl	ựt

pto	ựa
tuo	ượu
tjo	ượi
tco	ược
tfo	ượng
tno	ượn
tmo	ượm
tvo	ượp
tro	ượt

ppl	ụ
pul	ụu
pjl	ụi
pcl	ục
pfl	ụng
pnl	ụn
pml	ụm
pvl	ụp
prl	ụt

ppo	ụa
puo	uộu
pjo	uội
pco	uộc
pfo	uộng
pno	uộn
pmo	uộm
pvo	uộp
pro	uột


qwl	tợ
qwul	tợu
qwjl	tợi
qwcl	tợc
qwfl	tợng
qwnl	tợn
qwml	tợm
qwvl	tợp
qwrl	tợt

qwo	tuợ
qwuo	tuợu
qwjo	tuợi
qwco	tuợc
qwfo	tuợng
qwno	tuợn
qwmo	tuợm
qwvo	tuợp
qwro	tuợt

qol	tọ
qoul	tọu
qojl	tọi
qocl	tọc
qofl	tọng
qonl	tọn
qoml	tọm
qovl	tọp
qorl	tọt

qoo	toọ
qouo	toọu
qojo	toọi
qoco	toọc
qofo	toọng
qono	toọn
qomo	toọm
qovo	toọp
qoro	toọt

qal	tạ
qaul	tạo
qajl	tại
qacl	tạc
qafl	tạng
qanl	tạn
qaml	tạm
qavl	tạp
qarl	tạt

qao	toạ
qauo	toạo
qajo	toại
qaco	toạc
qafo	toạng
qano	toạn
qamo	toạm
qavo	toạp
qaro	toạt

qel	tẹ
qeul	tẹo
qejl	tẹi
qecl	tẹc
qefl	tẹng
qenl	tẹn
qeml	tẹm
qevl	tẹp
