0w1l	ợ
0wul	ợu
0wjl	ợi
0wcl	ợc
0wfl	ợng
0wnl	ợn
0wml	ợm
0wvl	ợp
0wrl	ợt

0w1o	uợ
0wuo	uợu
0wjo	uợi
0wco	uợc
0wfo	uợng
0wno	uợn
0wmo	uợm
0wvo	uợp
0wro	uợt

0o1l	ọ
0oul	ọu
0ojl	ọi
0ocl	ọc
0ofl	ọng
0onl	ọn
0oml	ọm
0ovl	ọp
0orl	ọt

0o1o	oọ
0ouo	oọu
0ojo	oọi
0oco	oọc
0ofo	oọng
0ono	oọn
0omo	oọm
0ovo	oọp
0oro	oọt

0a1l	ạ
0aul	ạo
0ajl	ại
0acl	ạc
0afl	ạng
0anl	ạn
0aml	ạm
0avl	ạp
0arl	ạt

0a1o	oạ
0auo	oạo
0ajo	oại
0aco	oạc
0afo	oạng
0ano	oạn
0amo	oạm
0avo	oạp
0aro	oạt

0e1l	ẹ
0eul	ẹo
0ejl	ẹi
0ecl	ẹc
0efl	ẹng
0enl	ẹn
0eml	ẹm
0evl	ẹp
0erl	ẹt

0e1o	oẹ
0euo	oẹo
0ejo	oẹi
0eco	oẹc
0efo	oẹng
0eno	oẹn
0emo	oẹm
0evo	oẹp
0ero	oẹt

0d1l	ệ
0dul	ệu
0djl	ệy
0dcl	ệch
0dfl	ệnh
0dnl	ện
0dml	ệm
0dvl	ệp
0drl	ệt

0d1o	uệ
0duo	uệu
0djo	uệy
0dco	uệch
0dfo	uệnh
0dno	uện
0dmo	uệm
0dvo	uệp
0dro	uệt

0i1l	ị
0iul	ịu
0ijl	ỵ
0icl	ịch
0ifl	ịnh
0inl	ịn
0iml	ịm
0ivl	ịp
0irl	ịt

0i1o	uị
0iuo	uỵu
0ijo	uỵ
0ico	uỵch
0ifo	uỵnh
0ino	uỵn
0imo	uỵm
0ivo	uỵp
0iro	uỵt

0k1l	ịa
0kul	yệu
0kjl	yệy
0kcl	yệc
0kfl	yệng
0knl	yện
0kml	yệm
0kvl	yệp
0krl	yệt

0k1o	uỵa
0kuo	uyệu
0kjo	uyệy
0kco	uyệc
0kfo	uyệng
0kno	uyện
0kmo	uyệm
0kvo	uyệp
0kro	uyệt

0l1l	ộ
0lul	ộu
0ljl	ội
0lcl	ộc
0lfl	ộng
0lnl	ộn
0lml	ộm
0lvl	ộp
0lrl	ột

0l1o	ôộ
0luo	ôộu
0ljo	ôội
0lco	ôộc
0lfo	ôộng
0lno	ôộn
0lmo	ôộm
0lvo	ôộp
0lro	ôột

0s1l	ạnh
0sul	ậu
0sjl	ậy
0scl	ậc
0sfl	ậng
0snl	ận
0sml	ậm
0svl	ập
0srl	ật

0s1o	oạnh
0suo	uậu
0sjo	uậy
0sco	uậc
0sfo	uậng
0sno	uận
0smo	uậm
0svo	uập
0sro	uật

0q1l	ạch
0qul	ạu
0qjl	ạy
0qcl	ặc
0qfl	ặng
0qnl	ặn
0qml	ặm
0qvl	ặp
0qrl	ặt

0q1o	oạch
0quo	oạu
0qjo	oạy
0qco	oặc
0qfo	oặng
0qno	oặn
0qmo	oặm
0qvo	oặp
0qro	oặt

0t1l	ự
0tul	ựu
0tjl	ựi
0tcl	ực
0tfl	ựng
0tnl	ựn
0tml	ựm
0tvl	ựp
0trl	ựt

0t1o	ựa
0tuo	ượu
0tjo	ượi
0tco	ược
0tfo	ượng
0tno	ượn
0tmo	ượm
0tvo	ượp
0tro	ượt

0p1l	ụ
0pul	ụu
0pjl	ụi
0pcl	ục
0pfl	ụng
0pnl	ụn
0pml	ụm
0pvl	ụp
0prl	ụt

0p1o	ụa
0puo	uộu
0pjo	uội
0pco	uộc
0pfo	uộng
0pno	uộn
0pmo	uộm
0pvo	uộp
0pro	uột
